epoch,accuracy,loss,val_accuracy,val_loss
0,0.3703293800354004,1.326279640197754,0.469740629196167,1.271639108657837
1,0.6531968116760254,0.9780767560005188,0.639769434928894,0.9516658782958984
2,0.795737624168396,0.5764171481132507,0.6858789920806885,0.8223908543586731
3,0.84721839427948,0.40936848521232605,0.6887608170509338,0.7901309728622437
4,0.8801549673080444,0.32367968559265137,0.6657060384750366,0.8266105651855469
5,0.9133684039115906,0.2599553167819977,0.680115282535553,0.8790999054908752
6,0.9272072911262512,0.2186662256717682,0.651296854019165,0.968200147151947
7,0.9391087889671326,0.18635490536689758,0.6599423885345459,0.9864605665206909
8,0.9526709318161011,0.1578478068113327,0.6714697480201721,1.0726709365844727
9,0.9587600231170654,0.1401452124118805,0.6685879230499268,1.0929114818572998
10,0.9654027223587036,0.12464689463376999,0.6541786789894104,1.1475163698196411
11,0.9662330746650696,0.11145741492509842,0.6570605039596558,1.1921025514602661
12,0.9701079726219177,0.0981125682592392,0.6570605039596558,1.2735954523086548
13,0.9698311686515808,0.09485536813735962,0.6570605039596558,1.2979108095169067
14,0.9723221659660339,0.09187009930610657,0.6570605039596558,1.356284499168396
15,0.972875714302063,0.08617580682039261,0.6714697480201721,1.3886350393295288
16,0.9753667116165161,0.07796502113342285,0.6570605039596558,1.421659231185913
17,0.973429262638092,0.07788249105215073,0.6628242135047913,1.450815200805664
18,0.972875714302063,0.07837261259555817,0.6541786789894104,1.5058071613311768
19,0.9745364189147949,0.07239456474781036,0.6657060384750366,1.5230882167816162
20,0.9781345129013062,0.06531602144241333,0.6455331444740295,1.5531874895095825
21,0.9767506122589111,0.07058420032262802,0.651296854019165,1.612097978591919
22,0.977027416229248,0.0676412284374237,0.6541786789894104,1.601605772972107
23,0.9773041605949402,0.06849846243858337,0.6455331444740295,1.608957290649414
24,0.9778577089309692,0.06345721334218979,0.6455331444740295,1.6549031734466553
